app_name,category,rating,review,helpful_votes,version,date,user_name,developer_response
eBay,Shopping,4.0,"Best app on my phone, period.",348,3.3.3,2022-05-23,user_2679,We're working on it.
Subway Surfers,Games,3.0,Useful but not without issues Really,71,2.3.8,2023-09-09,user_1434,We're working on it.
Microsoft Word,Productivity,5.0,Great customer support too Extremely this update design Really design the developer Slightly Very features Slightly Really Really design,102,5.4.0,2023-04-16,user_9785,
MyFitnessPal,Health & Fitness,,"Best app on my phone, period. design the developer design this update performance Really Extremely Extremely Really",214,2.1.6,2022-10-12,user_8428,
Trello,Productivity,2.0,Support never responds Extremely Extremely features the developer the developer Very performance Very Slightly features the developer,87,5.3.5,2022-02-27,user_4752,
Canva,Photo & Video,4.0,"Five stars, highly recommend! Really features this update performance Extremely the app design the developer",359,2.4.2,2022-09-10,user_9830,
Disney+,Entertainment,5.0,Works flawlessly on my iPhone design Slightly Extremely features this update Really Really Very the developer performance the app Really Slightly,149,4.8.4,2023-07-21,user_1188,
Google Drive,Utilities,2.0,Lost all my data after update performance Slightly Extremely Very Really performance performance features,343,2.8.1,2023-10-03,user_5889,We're working on it.
Instacart,Food & Drink,5.0,Changed my daily routine for the better Slightly Very features features,293,1.9.5,2023-05-16,user_1319,
SoundCloud,Music,1.0,Terrible battery drain Really design features Really the app Really performance,443,2.2.7,2023-07-17,user_3705,
Airbnb,Travel,3.0,Useful but not without issues features performance the developer performance Slightly the developer,459,3.7.8,2023-04-08,user_2982,
TikTok,Social Networking,5.0,"Best app on my phone, period. Really this update this update Really performance Really Really Really Slightly this update",252,3.7.3,2023-07-07,user_3167,We're working on it.
DoorDash,Food & Drink,4.0,"Fantastic update, keeps getting better performance design Very Really the app the app the app",48,1.1.0,2023-02-17,user_6559,
Facebook,Social Networking,4.0,Changed my daily routine for the better this update Very Very the app design Really,169,5.1.0,2023-10-30,user_9856,
Subway Surfers,Games,1.0,Keeps freezing on my device the app the app design features Very,187,1.6.4,2023-04-11,user_5673,Thank you for your feedback!
Dropbox,Utilities,4.0,Great customer support too Very Extremely features this update this update performance Really this update this update design Very features Really Very this update,189,2.6.1,2023-08-07,user_5033,We're working on it.
Instacart,Food & Drink,2.0,"Crashes constantly, very frustrating the app this update",445,5.5.4,2022-07-29,user_6147,
Twitter,Social Networking,3.0,Useful but not without issues the developer Extremely Slightly performance,54,1.0.7,2023-09-29,user_2638,
Google Maps,Travel,5.0,Changed my daily routine for the better Very Slightly Really Extremely Extremely the app this update Slightly,130,5.0.8,2022-11-03,user_2697,
Twitter,Social Networking,5.0,"Best app on my phone, period. performance Very Extremely",134,2.5.3,2023-12-05,user_5325,We're working on it.
Venmo,Finance,3.0,Average experience overall Really,166,4.4.0,2022-01-04,user_6464,
eBay,Shopping,1.0,Terrible battery drain performance this update the app Really Really,88,2.8.0,2023-01-14,user_3426,Thank you for your feedback!
Notion,Productivity,5.0,Absolutely love this app! Slightly features features Really Slightly the developer the developer Slightly this update,241,4.9.2,2022-08-31,user_3662,
Strava,Health & Fitness,4.0,Absolutely love this app! performance Slightly features design design,345,2.4.2,2023-12-20,user_2771,Thank you for your feedback!
Among Us,Games,2.0,Not worth the subscription price Very features Slightly design design Extremely the developer,339,4.5.4,2022-03-13,user_5573,
Etsy,Shopping,3.0,Useful but not without issues features Very features Very features Extremely Very the app performance Slightly,443,5.8.1,2023-01-30,user_4114,
Among Us,Games,2.0,"Buggy and slow, needs a lot of work",263,5.8.3,2023-01-08,user_8066,
1Password,Utilities,,Support never responds the developer Very features this update the developer Slightly the developer this update Very the developer,205,4.2.9,2023-08-06,user_5930,Thank you for your feedback!
Uber,Travel,4.0,Absolutely love this app! Extremely the app this update the developer the app the app Extremely the app features,49,2.1.4,2023-06-12,user_6491,
Hulu,Entertainment,,Changed my daily routine for the better Extremely Very Really Extremely the app design Really the app the developer,1,2.6.7,2023-02-14,user_4997,
Etsy,Shopping,4.0,Absolutely love this app! performance Extremely design,53,5.7.0,2023-07-25,user_5082,
Coursera,Education,4.0,Super intuitive and fast the developer features this update features design the developer performance this update design this update design performance the app Extremely,309,2.4.8,2023-05-12,user_4919,
Khan Academy,Education,1.0,"Too many ads, ruins the experience Extremely Slightly design Really Very Slightly Very Extremely the app",401,3.8.7,2023-03-02,user_2020,
Strava,Health & Fitness,5.0,"Five stars, highly recommend!",161,5.6.7,2022-01-07,user_6763,
Hulu,Entertainment,4.0,"Five stars, highly recommend! this update performance performance design the app Extremely the app Slightly the developer performance performance design features",483,5.8.0,2023-02-08,user_1444,
Etsy,Shopping,5.0,"Five stars, highly recommend! design Very Extremely Slightly",303,4.5.5,2023-01-24,user_5558,Thank you for your feedback!
Twitter,Social Networking,4.0,"Best app on my phone, period. Really this update features Slightly the developer performance the developer performance features Very Really Very Very the developer this update",461,2.7.4,2023-01-13,user_3749,We're working on it.
Instacart,Food & Drink,3.0,OK but could use some improvements features Very Really Slightly the developer,189,4.6.3,2022-03-19,user_4978,
Dropbox,Utilities,4.0,Incredible features and smooth UI performance this update Really,207,5.6.5,2022-03-12,user_9289,
Minecraft,Games,5.0,"Five stars, highly recommend! Very features the developer design performance the app performance features Extremely design this update the app the app performance Extremely",366,2.1.4,2023-04-07,user_4995,Thank you for your feedback!
DoorDash,Food & Drink,5.0,Works flawlessly on my iPhone Slightly the app Slightly the app Slightly Extremely Extremely this update design this update this update Very,409,2.6.7,2023-07-23,user_4937,Thank you for your feedback!
Etsy,Shopping,5.0,"Fantastic update, keeps getting better performance Really Extremely the developer Slightly this update the app this update the app performance Slightly performance Extremely Extremely",187,1.3.5,2022-05-03,user_9779,
Microsoft Word,Productivity,4.0,Changed my daily routine for the better Extremely this update performance this update features design Extremely Slightly Slightly performance Very Really Really Extremely features,40,4.1.0,2023-08-11,user_5658,Thank you for your feedback!
Robinhood,Finance,4.0,"Fantastic update, keeps getting better Very Really features the app design the app Really the developer Really Very",300,5.4.1,2022-09-12,user_2940,We're working on it.
Hulu,Entertainment,2.0,"Buggy and slow, needs a lot of work performance Slightly features Extremely this update the app this update",326,1.9.1,2022-08-01,user_4457,
1Password,Utilities,4.0,"Best app on my phone, period. Extremely this update Very the app the developer",128,4.4.0,2022-08-26,user_5720,
Dropbox,Utilities,3.0,Gets the job done the developer features,471,5.3.6,2022-04-28,user_9922,
Etsy,Shopping,1.0,"Horrible update, they broke everything design Really Very Slightly performance this update Extremely Very",498,3.6.4,2023-05-28,user_9847,Thank you for your feedback!
Khan Academy,Education,5.0,"Best app on my phone, period. design",162,3.9.4,2022-01-27,user_2496,
Google Drive,Utilities,5.0,Works flawlessly on my iPhone,378,3.9.0,2022-06-29,user_8708,We're working on it.
Etsy,Shopping,2.0,Not worth the subscription price Very this update the developer the app Really Slightly Slightly the developer,230,2.5.6,2023-12-12,user_9117,
1Password,Utilities,5.0,"Five stars, highly recommend! the app",27,3.4.5,2022-04-29,user_7622,We're working on it.
Minecraft,Games,5.0,Great customer support too the app Very Slightly performance the developer performance Extremely this update features the app the developer Very features the developer,327,2.2.4,2023-07-19,user_1224,We're working on it.
Strava,Health & Fitness,4.0,"Best app on my phone, period. features features the app Very design the app performance",32,5.4.6,2023-05-10,user_8736,
Coursera,Education,2.0,Lost all my data after update Slightly features this update design,406,1.4.6,2022-12-15,user_9318,
Minecraft,Games,5.0,Incredible features and smooth UI design this update the developer design the app the app Slightly performance Slightly,292,3.3.3,2023-08-09,user_7274,
Strava,Health & Fitness,5.0,Absolutely love this app! performance performance design Slightly the developer design features the app Really this update,359,5.5.1,2023-03-27,user_2633,We're working on it.
Coursera,Education,4.0,Absolutely love this app! the app the developer Very the app,34,3.5.9,2023-12-11,user_7512,
Spotify,Music,4.0,Great customer support too features the developer design the app this update the developer Extremely the developer Extremely Extremely Really features,100,1.7.2,2023-12-12,user_5906,
Among Us,Games,5.0,Can't imagine life without it Extremely,130,3.6.2,2022-09-08,user_9702,Thank you for your feedback!
DoorDash,Food & Drink,5.0,Super intuitive and fast Very the developer Slightly the developer the app,217,5.2.3,2023-04-18,user_5161,Thank you for your feedback!
Twitter,Social Networking,3.0,"Decent app, does what it says features the developer Very the app Slightly this update the developer the app Extremely design Very Slightly the app Extremely",397,5.5.9,2022-10-30,user_5837,
1Password,Utilities,4.0,"Five stars, highly recommend! Really design performance features features performance design features",392,2.9.5,2022-08-13,user_4115,We're working on it.
Twitter,Social Networking,5.0,Super intuitive and fast features the developer Slightly,345,4.0.9,2023-01-09,user_3153,
VSCO,Photo & Video,1.0,Support never responds Very Very this update features this update features design Extremely design the app design performance Slightly,460,1.7.1,2022-05-25,user_4696,Thank you for your feedback!
Uber,Travel,3.0,Has potential but needs polish performance Really,351,5.1.7,2023-01-13,user_5295,We're working on it.
MyFitnessPal,Health & Fitness,5.0,Can't imagine life without it the developer the app the developer,51,5.5.9,2022-08-15,user_2035,Thank you for your feedback!
Dropbox,Utilities,5.0,Incredible features and smooth UI Very Really Really features Very Extremely this update Slightly Slightly features the developer this update this update,387,2.6.1,2023-05-17,user_7686,
Among Us,Games,5.0,Can't imagine life without it the app features design Really the developer this update,406,3.0.6,2022-10-10,user_4109,
Coursera,Education,5.0,"Best app on my phone, period. the developer this update Really performance Extremely Very",142,5.3.1,2023-07-22,user_4394,We're working on it.
Instagram,Social Networking,5.0,Changed my daily routine for the better performance performance this update Extremely features features this update performance Very design,35,2.0.5,2022-09-01,user_6304,
Evernote,Productivity,,Incredible features and smooth UI Very,326,4.8.1,2022-03-07,user_8802,Thank you for your feedback!
SoundCloud,Music,4.0,Great customer support too the app Extremely the developer,85,5.4.7,2023-10-21,user_1510,
Robinhood,Finance,5.0,"Five stars, highly recommend! the developer the app features Really Really the developer Really Extremely the developer this update Slightly features this update",169,4.8.9,2023-03-17,user_2624,
Etsy,Shopping,5.0,,440,3.6.5,2023-11-13,user_5176,
Todoist,Productivity,2.0,Not worth the subscription price Really Really,283,4.1.5,2022-05-14,user_1982,We're working on it.
Uber,Travel,5.0,Great customer support too the developer the app design features the app features Really Extremely Slightly Very,43,5.3.2,2023-11-04,user_8900,
Candy Crush,Games,4.0,Can't imagine life without it Very Extremely Extremely the app this update performance the developer the developer this update the developer the developer,445,3.0.2,2022-10-07,user_6062,
Apple Music,Music,4.0,,347,1.1.8,2022-08-09,user_7163,Thank you for your feedback!
Coursera,Education,4.0,Can't imagine life without it Slightly performance performance this update Really,189,1.2.2,2023-09-25,user_1815,
Snapchat,Social Networking,2.0,Not worth the subscription price the app the app Extremely performance Very the app Extremely the developer the app the developer Really Slightly this update,376,1.3.4,2022-08-05,user_3248,
VSCO,Photo & Video,5.0,Can't imagine life without it Really performance Very,120,4.8.3,2023-05-28,user_6802,
Headspace,Health & Fitness,5.0,Absolutely love this app! Really features design this update this update performance the app Very Really Slightly design the developer design,232,3.1.6,2022-04-19,user_4986,Thank you for your feedback!
Yelp,Food & Drink,4.0,"Five stars, highly recommend! Slightly Slightly",197,3.3.5,2022-06-22,user_2251,We're working on it.
eBay,Shopping,4.0,"Best app on my phone, period. features Slightly performance design design Extremely",136,2.4.3,2022-06-27,user_3504,
Evernote,Productivity,4.0,"Fantastic update, keeps getting better performance performance the app features this update the developer the developer design the developer Very Really the app Slightly Extremely",224,1.5.8,2022-03-17,user_6085,Thank you for your feedback!
Khan Academy,Education,2.0,"Crashes constantly, very frustrating Slightly",171,3.1.1,2023-09-22,user_9307,Thank you for your feedback!
